Station,Exit,latitude,longitude
BUKIT GOMBAK MRT STATION,Exit B,37863.2866,18960.5316
KEAT HONG LRT STATION,Exit A,40049.3333,18641.6382
TECK WHYE LRT STATION,Exit A,39839.1378,19153.4719
PHOENIX LRT STATION,Exit A,40065.7866,19646.0798
BUKIT PANJANG MRT STATION,Exit A,40301.4227,19795.8099
BUANGKOK MRT STATION,Exit A,40596.0247,34628.8556
TELOK AYER MRT STATION,Exit B,29437.5577,29719.9867
ONE-NORTH MRT STATION,Exit D,31381.2195,22932.4996
KENT RIDGE MRT STATION,Exit C,30707.8344,22565.8539
KENT RIDGE MRT STATION,Exit D,30623.1359,22570.7719
LITTLE INDIA MRT STATION,Exit D,32130.8805,29745.1948
BUKIT PANJANG MRT STATION,Exit A,40082.5998,20066.9572
CHOA CHU KANG MRT STATION,Exit A,40816.1938,18122.3052
CHOA CHU KANG MRT STATION,Exit B,40727.7341,18112.286
CHOA CHU KANG MRT STATION,Exit C,40852.6839,18112.2907
CHOA CHU KANG MRT STATION,Exit D,40812.8784,18072.2258
CHOA CHU KANG LRT STATION,Exit E,40771.9635,18128.9808
GUL CIRCLE MRT STATION,Exit A,33478.0719,8760.7418
GUL CIRCLE MRT STATION,Exit B,33456.5083,8648.4259
TUAS CRESCENT MRT STATION,Exit A,33669.6306,7482.5371
TUAS CRESCENT MRT STATION,Exit B,33722.6797,7519.0497
TUAS WEST ROAD MRT STATION,Exit A,34676.9014,6405.9454
TUAS WEST ROAD MRT STATION,Exit B,34711.165,6462.3018
TUAS LINK MRT STATION,Exit A,35843.986,6179.1592
TUAS LINK MRT STATION,Exit B,35900.734,6134.0855
EXPO MRT STATION,Exit C,35348.5631,42338.8147
EXPO MRT STATION,Exit D,35225.1575,42443.3957
MACPHERSON MRT STATION,Exit E,34269.2449,34153.9561
EXPO MRT STATION,Exit E,35228.2949,42334.6315
MACPHERSON MRT STATION,Exit D,34153.4373,34136.1103
EXPO MRT STATION,Exit G,35245.5508,42437.6438
EXPO MRT STATION,Exit A,35296.7955,42302.7343
EXPO MRT STATION,Exit F,35211.562,42417.2505
